country,sex,year,not_adequately_defined_000
cmr,mf,1986,87.69999694824219
cmr,mf,2001,358.8900146484375
cmr,m,2001,196.27200317382812
cmr,f,2001,162.6179962158203
cym,mf,2005,0.20999999344348907
cym,m,2005,0.1459999978542328
cym,f,2005,0.06599999964237213
cym,mf,2006,0.0
cym,m,2006,0.0
cym,f,2006,0.0
cym,mf,2007,0.7799999713897705
cym,m,2007,0.375
cym,f,2007,0.40400001406669617
cym,mf,2008,0.3700000047683716
cym,m,2008,0.2280000001192093
cym,f,2008,0.1420000046491623
cym,mf,2009,0.032999999821186066
cym,m,2009,0.017000000923871994
cym,f,2009,0.017000000923871994
cym,mf,2010,0.09799999743700027
cym,m,2010,0.04800000041723251
cym,f,2010,0.05000000074505806
cym,mf,2011,0.3230000138282776
cym,m,2011,0.1899999976158142
cym,f,2011,0.13300000131130219
cym,mf,2012,0.3190000057220459
cym,m,2012,0.14900000393390656
cym,f,2012,0.17000000178813934
tcd,mf,1993,8.680000305175781
tcd,m,1993,5.557000160217285
tcd,f,1993,3.122999906539917
chl,mf,1980,6.5
chl,m,1980,5.400000095367432
chl,f,1980,1.399999976158142
chl,mf,1981,2.4000000953674316
chl,m,1981,2.0999999046325684
chl,f,1981,0.30000001192092896
chl,mf,1982,2.4000000953674316
chl,m,1982,2.299999952316284
chl,f,1982,0.30000001192092896
chl,mf,1983,2.5
chl,m,1983,1.899999976158142
chl,f,1983,0.6000000238418579
chl,mf,1984,1.5
chl,m,1984,0.699999988079071
chl,f,1984,0.699999988079071
chl,mf,1985,0.5
chl,m,1985,0.4000000059604645
chl,f,1985,0.10000000149011612
chl,mf,1986,1.2000000476837158
chl,m,1986,0.5
chl,f,1986,0.6000000238418579
chl,mf,1987,0.8999999761581421
chl,m,1987,0.800000011920929
chl,f,1987,0.10000000149011612
chl,mf,1988,1.0
chl,m,1988,0.20000000298023224
chl,f,1988,0.699999988079071
chl,mf,1989,0.4000000059604645
chl,m,1989,0.20000000298023224
chl,f,1989,0.20000000298023224
chl,mf,1990,0.20000000298023224
chl,m,1990,0.20000000298023224
chl,f,1990,0.0
chl,mf,1991,0.5
chl,m,1991,0.5
chl,f,1991,0.0
chl,mf,1992,0.4000000059604645
chl,m,1992,0.20000000298023224
